Id,Section,SectionDescription,Division,DivisionDescription,Group,GroupDescription
A011,کشاورزی، جنگلداری و ماهیگیری,"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, production of animal products from a farm or natural habitats.
 
This section includes also:
 organic agriculture, soilless cultivation of crops, hydroponics and aquaponics, aquaculture, the growing of genetically modified crops and the raising of genetically modified animals
 
This section excludes undifferentiated subsistence goods-producing activities of households, which is classified in class 9810.",تولید محصولات کشاورزی و دامی، شکار و فعالیت‌های خدماتی مرتبط,"This division includes two basic activities, namely the production of crop products and production of 
 animal products. This division includes growing of crops on open land, under cover or in greenhouses.
 Group 015 (Mixed farming) breaks with the usual principles for identifying main activity. It accepts 
 that many agricultural units have reasonably balanced crop and animal production, and that it 
 would be arbitrary to classify them in one category or the other.
 This division includes the soilless cultivation of crops, including hydroponics and aquaponics.
 
This division also includes service activities incidental to agriculture, as well as hunting, trapping and 
 related activities.
 
Agricultural activities exclude any subsequent processing of the agricultural products (classified under 
 divisions 10 and 11 (Manufacture of food products and beverages) and division 12 (Manufacture of 
 tobacco products)), beyond that needed to prepare them for the primary markets. The preparation of 
 products for the primary markets is included here.
 The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice 
 paddies etc.) classified in section F (Construction) and buyers and cooperative associations engaged in 
 the marketing of farm products classified in section G. Also excluded is the landscape service activities, which is classified in class 8130.",کشت محصولات یک‌ساله,"This group includes the growing of non-perennial crops, i.e. plants that do not last for more than two 
 growing seasons. Included is the growing of these plants for the purpose of seed production."
A012,کشاورزی، جنگلداری و ماهیگیری,"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, production of animal products from a farm or natural habitats.
 
This section includes also:
 organic agriculture, soilless cultivation of crops, hydroponics and aquaponics, aquaculture, the growing of genetically modified crops and the raising of genetically modified animals
 
This section excludes undifferentiated subsistence goods-producing activities of households, which is classified in class 9810.",تولید محصولات کشاورزی و دامی، شکار و فعالیت‌های خدماتی مرتبط,"This division includes two basic activities, namely the production of crop products and production of 
 animal products. This division includes growing of crops on open land, under cover or in greenhouses.
 Group 015 (Mixed farming) breaks with the usual principles for identifying main activity. It accepts 
 that many agricultural units have reasonably balanced crop and animal production, and that it 
 would be arbitrary to classify them in one category or the other.
 This division includes the soilless cultivation of crops, including hydroponics and aquaponics.
 
This division also includes service activities incidental to agriculture, as well as hunting, trapping and 
 related activities.
 
Agricultural activities exclude any subsequent processing of the agricultural products (classified under 
 divisions 10 and 11 (Manufacture of food products and beverages) and division 12 (Manufacture of 
 tobacco products)), beyond that needed to prepare them for the primary markets. The preparation of 
 products for the primary markets is included here.
 The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice 
 paddies etc.) classified in section F (Construction) and buyers and cooperative associations engaged in 
 the marketing of farm products classified in section G. Also excluded is the landscape service activities, which is classified in class 8130.",کشت محصولات چندساله,"This group includes the growing of perennial crops, i.e. plants that lasts for more than two growing 
 seasons, either dying back after each season or growing continuously. Included is the growing of these 
 plants for the purpose of seed production."
A013,کشاورزی، جنگلداری و ماهیگیری,"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, production of animal products from a farm or natural habitats.
 
This section includes also:
 organic agriculture, soilless cultivation of crops, hydroponics and aquaponics, aquaculture, the growing of genetically modified crops and the raising of genetically modified animals
 
This section excludes undifferentiated subsistence goods-producing activities of households, which is classified in class 9810.",تولید محصولات کشاورزی و دامی، شکار و فعالیت‌های خدماتی مرتبط,"This division includes two basic activities, namely the production of crop products and production of 
 animal products. This division includes growing of crops on open land, under cover or in greenhouses.
 Group 015 (Mixed farming) breaks with the usual principles for identifying main activity. It accepts 
 that many agricultural units have reasonably balanced crop and animal production, and that it 
 would be arbitrary to classify them in one category or the other.
 This division includes the soilless cultivation of crops, including hydroponics and aquaponics.
 
This division also includes service activities incidental to agriculture, as well as hunting, trapping and 
 related activities.
 
Agricultural activities exclude any subsequent processing of the agricultural products (classified under 
 divisions 10 and 11 (Manufacture of food products and beverages) and division 12 (Manufacture of 
 tobacco products)), beyond that needed to prepare them for the primary markets. The preparation of 
 products for the primary markets is included here.
 The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice 
 paddies etc.) classified in section F (Construction) and buyers and cooperative associations engaged in 
 the marketing of farm products classified in section G. Also excluded is the landscape service activities, which is classified in class 8130.",تکثیر گیاهان,"This class includes the production of all vegetative planting materials including cuttings, suckers and 
 seedlings for direct plant propagation or to create plant grafting stock into which selected scion is 
 grafted for eventual planting to produce crops.
 This class includes:
 - growing of plants for planting
 - growing of plants for ornamental purposes, including turf for transplanting
 - growing of live plants for bulbs, tubers and roots; cuttings and slips; mushroom spawn 
 - operation of tree nurseries, except forest tree nurseries
 
This class excludes:
 - growing of plants for the purpose of seed production, see 011, 012
 - operation of forest tree nurseries, see 0210"
A014,کشاورزی، جنگلداری و ماهیگیری,"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, production of animal products from a farm or natural habitats.
 
This section includes also:
 organic agriculture, soilless cultivation of crops, hydroponics and aquaponics, aquaculture, the growing of genetically modified crops and the raising of genetically modified animals
 
This section excludes undifferentiated subsistence goods-producing activities of households, which is classified in class 9810.",تولید محصولات کشاورزی و دامی، شکار و فعالیت‌های خدماتی مرتبط,"This division includes two basic activities, namely the production of crop products and production of 
 animal products. This division includes growing of crops on open land, under cover or in greenhouses.
 Group 015 (Mixed farming) breaks with the usual principles for identifying main activity. It accepts 
 that many agricultural units have reasonably balanced crop and animal production, and that it 
 would be arbitrary to classify them in one category or the other.
 This division includes the soilless cultivation of crops, including hydroponics and aquaponics.
 
This division also includes service activities incidental to agriculture, as well as hunting, trapping and 
 related activities.
 
Agricultural activities exclude any subsequent processing of the agricultural products (classified under 
 divisions 10 and 11 (Manufacture of food products and beverages) and division 12 (Manufacture of 
 tobacco products)), beyond that needed to prepare them for the primary markets. The preparation of 
 products for the primary markets is included here.
 The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice 
 paddies etc.) classified in section F (Construction) and buyers and cooperative associations engaged in 
 the marketing of farm products classified in section G. Also excluded is the landscape service activities, which is classified in class 8130.",دامپروری,"This group includes farming (husbandry, raising) and breeding of all animals, except aquatic animals.
 
This group excludes: 
 - farm animal boarding and care, see 0162
 - production of hides and skins from slaughterhouses, see 1010"
A015,کشاورزی، جنگلداری و ماهیگیری,"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, production of animal products from a farm or natural habitats.
 
This section includes also:
 organic agriculture, soilless cultivation of crops, hydroponics and aquaponics, aquaculture, the growing of genetically modified crops and the raising of genetically modified animals
 
This section excludes undifferentiated subsistence goods-producing activities of households, which is classified in class 9810.",تولید محصولات کشاورزی و دامی، شکار و فعالیت‌های خدماتی مرتبط,"This division includes two basic activities, namely the production of crop products and production of 
 animal products. This division includes growing of crops on open land, under cover or in greenhouses.
 Group 015 (Mixed farming) breaks with the usual principles for identifying main activity. It accepts 
 that many agricultural units have reasonably balanced crop and animal production, and that it 
 would be arbitrary to classify them in one category or the other.
 This division includes the soilless cultivation of crops, including hydroponics and aquaponics.
 
This division also includes service activities incidental to agriculture, as well as hunting, trapping and 
 related activities.
 
Agricultural activities exclude any subsequent processing of the agricultural products (classified under 
 divisions 10 and 11 (Manufacture of food products and beverages) and division 12 (Manufacture of 
 tobacco products)), beyond that needed to prepare them for the primary markets. The preparation of 
 products for the primary markets is included here.
 The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice 
 paddies etc.) classified in section F (Construction) and buyers and cooperative associations engaged in 
 the marketing of farm products classified in section G. Also excluded is the landscape service activities, which is classified in class 8130.",کشاورزی مختلط,"This class includes the combined production of crops and animals without a specialised production of 
 crops or animals. The size of the overall farming operation is not a determining factor. If, for example, either 
 production of crops or animals in a given unit is 66% or more of standard output, the combined
 activity should not be included here, but allocated to crop or animal farming.
 
This class excludes:
 - mixed crop farming, see groups 011 and 012
 - mixed animal farming, see group 014"
A016,کشاورزی، جنگلداری و ماهیگیری,"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, production of animal products from a farm or natural habitats.
 
This section includes also:
 organic agriculture, soilless cultivation of crops, hydroponics and aquaponics, aquaculture, the growing of genetically modified crops and the raising of genetically modified animals
 
This section excludes undifferentiated subsistence goods-producing activities of households, which is classified in class 9810.",تولید محصولات کشاورزی و دامی، شکار و فعالیت‌های خدماتی مرتبط,"This division includes two basic activities, namely the production of crop products and production of 
 animal products. This division includes growing of crops on open land, under cover or in greenhouses.
 Group 015 (Mixed farming) breaks with the usual principles for identifying main activity. It accepts 
 that many agricultural units have reasonably balanced crop and animal production, and that it 
 would be arbitrary to classify them in one category or the other.
 This division includes the soilless cultivation of crops, including hydroponics and aquaponics.
 
This division also includes service activities incidental to agriculture, as well as hunting, trapping and 
 related activities.
 
Agricultural activities exclude any subsequent processing of the agricultural products (classified under 
 divisions 10 and 11 (Manufacture of food products and beverages) and division 12 (Manufacture of 
 tobacco products)), beyond that needed to prepare them for the primary markets. The preparation of 
 products for the primary markets is included here.
 The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice 
 paddies etc.) classified in section F (Construction) and buyers and cooperative associations engaged in 
 the marketing of farm products classified in section G. Also excluded is the landscape service activities, which is classified in class 8130.",فعالیت‌های حمایتی برای کشاورزی و فعالیت‌های پس از برداشت محصولات کشاورزی,"This group includes activities incidental to agricultural production and activities similar to agriculture but not undertaken for production purposes (in the sense of harvesting agricultural products), usually done on a 	fee or contract basis. It also includes post-harvest crop activities, aimed at preparing agricultural products for the primary market."
A017,کشاورزی، جنگلداری و ماهیگیری,"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, production of animal products from a farm or natural habitats.
 
This section includes also:
 organic agriculture, soilless cultivation of crops, hydroponics and aquaponics, aquaculture, the growing of genetically modified crops and the raising of genetically modified animals
 
This section excludes undifferentiated subsistence goods-producing activities of households, which is classified in class 9810.",تولید محصولات کشاورزی و دامی، شکار و فعالیت‌های خدماتی مرتبط,"This division includes two basic activities, namely the production of crop products and production of 
 animal products. This division includes growing of crops on open land, under cover or in greenhouses.
 Group 015 (Mixed farming) breaks with the usual principles for identifying main activity. It accepts 
 that many agricultural units have reasonably balanced crop and animal production, and that it 
 would be arbitrary to classify them in one category or the other.
 This division includes the soilless cultivation of crops, including hydroponics and aquaponics.
 
This division also includes service activities incidental to agriculture, as well as hunting, trapping and 
 related activities.
 
Agricultural activities exclude any subsequent processing of the agricultural products (classified under 
 divisions 10 and 11 (Manufacture of food products and beverages) and division 12 (Manufacture of 
 tobacco products)), beyond that needed to prepare them for the primary markets. The preparation of 
 products for the primary markets is included here.
 The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice 
 paddies etc.) classified in section F (Construction) and buyers and cooperative associations engaged in 
 the marketing of farm products classified in section G. Also excluded is the landscape service activities, which is classified in class 8130.",شکار، تله‌گذاری و فعالیت‌های خدماتی مرتبط,"This class includes:
 - hunting and trapping on a commercial basis
 - taking of wild animals (dead or alive) for food, fur, skin, for animal population control or for use in research, in zoos or as pets
 - production of fur skins, reptile or bird skins from hunting or trapping activities
 - catching of frogs and toads in the wild
 - collecting of snails in the wild
 
This class also includes:
- land-based catching of sea mammals such as walrus and seal
- hunting of foxes, minks and wolves to protect livestock
- hunting for animal population control

This class excludes:
 - production of fur skins, skins of birds and reptiles from land farms, see 0149
 - raising of game animals on ranching operations, see 014
 - pest control (including rabbits) in connection with agriculture, see 0161
 - catching of whales, see 0311
 - production of hides and skins originating from slaughterhouses, see 1010
 - hunting for sport or recreation and related service activities, see 9319
 - service activities to promote hunting and trapping, see 9499"
A021,کشاورزی، جنگلداری و ماهیگیری,"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, production of animal products from a farm or natural habitats.
 
This section includes also:
 organic agriculture, soilless cultivation of crops, hydroponics and aquaponics, aquaculture, the growing of genetically modified crops and the raising of genetically modified animals
 
This section excludes undifferentiated subsistence goods-producing activities of households, which is classified in class 9810.",جنگلداری و چوب‌بری,"This division includes silviculture and the production of roundwood as well as the extraction and gathering of wild growing non-wood forest products. Besides the production of timber, forestry activities result in 
 products that undergo little processing, such as firewood, charcoal and roundwood used in an 
 unprocessed form (e.g. pit-props, pulpwood). These activities can be carried out in natural, semi-natural or 
 planted forests.
 
This class excludes:
further processing of wood beginning with sawmilling and planing of wood, see division 16.",کشاورزی و سایر فعالیت‌های جنگلداری,"This class includes:
 - growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests 
 and timber tracts
 - growing of coppice, pulpwood and fire wood
 - operation of forest tree nurseries
 These activities can be carried out in natural, semi-natural or planted forests.
 
This class excludes:
 - growing of Christmas trees, see 0129
 - operation of tree nurseries, except for forest trees, see 0130
 - gathering of mushrooms and other wild growing non-wood forest products, see 0230
 - production of wood chips and particles not associated with forestry activities, see 1610
 - production of wood fire logs not associated with forestry activities, see 1629 
 - activities relating to amenity tree care and arboriculture, see 8130"
A022,کشاورزی، جنگلداری و ماهیگیری,"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, production of animal products from a farm or natural habitats.
 
This section includes also:
 organic agriculture, soilless cultivation of crops, hydroponics and aquaponics, aquaculture, the growing of genetically modified crops and the raising of genetically modified animals
 
This section excludes undifferentiated subsistence goods-producing activities of households, which is classified in class 9810.",جنگلداری و چوب‌بری,"This division includes silviculture and the production of roundwood as well as the extraction and gathering of wild growing non-wood forest products. Besides the production of timber, forestry activities result in 
 products that undergo little processing, such as firewood, charcoal and roundwood used in an 
 unprocessed form (e.g. pit-props, pulpwood). These activities can be carried out in natural, semi-natural or 
 planted forests.
 
This class excludes:
further processing of wood beginning with sawmilling and planing of wood, see division 16.",چوب‌بری,"This class includes:
 - production of roundwood for forest-based manufacturing industries
 - production of roundwood used in an unprocessed form such as pit-props, fence posts and utility 
 poles
 
This class also includes:
- gathering and production of forest harvesting residues, e.g. brushwood, stumps, wood chips from logging and other forest waste for energy
- production of charcoal in the forest (using traditional methods)

This class excludes:
 - growing of Christmas trees, see 0129
 - harvesting of short rotation coppice as energy crop, e.g. poplar and willow, on a fee or contract basis, see 0161
 - growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and
 timber tracts, see 0210
 - gathering of wild growing non-wood forest products, see 0230
 - production of wood chips and particles not associated with forestry activities, see 1610
 - production of charcoal through distillation of wood, see 2011"
A023,کشاورزی، جنگلداری و ماهیگیری,"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, production of animal products from a farm or natural habitats.
 
This section includes also:
 organic agriculture, soilless cultivation of crops, hydroponics and aquaponics, aquaculture, the growing of genetically modified crops and the raising of genetically modified animals
 
This section excludes undifferentiated subsistence goods-producing activities of households, which is classified in class 9810.",جنگلداری و چوب‌بری,"This division includes silviculture and the production of roundwood as well as the extraction and gathering of wild growing non-wood forest products. Besides the production of timber, forestry activities result in 
 products that undergo little processing, such as firewood, charcoal and roundwood used in an 
 unprocessed form (e.g. pit-props, pulpwood). These activities can be carried out in natural, semi-natural or 
 planted forests.
 
This class excludes:
further processing of wood beginning with sawmilling and planing of wood, see division 16.",جمع‌آوری محصولات غیرچوبی جنگل,"This class includes:
 - gathering of wild growing materials, e.g.:
 • mushrooms, truffles
 • berries
 • nuts
 • balata and other rubber-like gums
 • cork
 • lac and resins
 • balsams
 • acorns, horse chestnuts
 • mosses and lichens
 • vegetable hair/eelgrass
 
This class includes also:
 - harvesting wild herbs and associated natural drying
 
This class excludes:
 - managed production of any of these products (except growing of cork trees), see division 01
 - growing of mushrooms or truffles, see 0113
 - growing of berries or nuts, see 0125
 - gathering of fire wood, see 0220"
